Category Name,Timestamp,Confidence
scrofa,0.0,1.0
scrofa,0.04,1.0
scrofa,0.08,1.0
scrofa,0.12000000000000001,1.0
scrofa,0.16,1.0
scrofa,0.2,1.0
scrofa,0.24000000000000002,1.0
scrofa,0.28,1.0
scrofa,0.32,0.99
scrofa,0.36000000000000004,0.99
scrofa,0.4,0.99
scrofa,0.44,1.0
scrofa,0.48000000000000004,1.0
scrofa,0.52,1.0
scrofa,0.56,1.0
scrofa,0.6,1.0
scrofa,0.64,1.0
scrofa,0.68,1.0
scrofa,0.7200000000000001,1.0
scrofa,0.76,1.0
scrofa,0.8,1.0
scrofa,0.8400000000000001,1.0
scrofa,0.88,1.0
scrofa,0.92,1.0
scrofa,0.9600000000000001,1.0
scrofa,1.0,1.0
scrofa,1.04,1.0
scrofa,1.08,1.0
scrofa,1.12,1.0
scrofa,1.1600000000000001,1.0
scrofa,1.2,0.99
scrofa,1.24,0.99
scrofa,1.28,0.99
scrofa,1.32,0.99
scrofa,1.36,0.99
scrofa,1.4000000000000001,0.99
scrofa,1.4400000000000002,0.99
scrofa,1.48,0.99
scrofa,1.52,0.99
scrofa,1.56,1.0
scrofa,1.6,0.99
scrofa,1.6400000000000001,1.0
scrofa,1.6800000000000002,1.0
scrofa,1.72,1.0
scrofa,1.76,1.0
scrofa,1.8,1.0
scrofa,1.84,0.99
scrofa,1.8800000000000003,0.99
scrofa,1.9200000000000002,0.99
scrofa,1.9600000000000002,0.99
scrofa,2.0,1.0
scrofa,2.04,1.0
scrofa,2.08,1.0
scrofa,2.12,1.0
scrofa,2.16,1.0
scrofa,2.2,1.0
scrofa,2.24,1.0
scrofa,2.2800000000000002,1.0
scrofa,2.3200000000000003,0.99
scrofa,2.3600000000000003,0.99
scrofa,2.4,0.99
scrofa,2.44,0.99
scrofa,2.48,0.99
scrofa,2.52,1.0
scrofa,2.56,1.0
scrofa,2.6,1.0
scrofa,2.64,0.99
scrofa,2.68,0.99
scrofa,2.72,0.99
scrofa,2.7600000000000007,0.99
scrofa,2.8000000000000003,0.99
scrofa,2.8400000000000003,0.99
scrofa,2.8800000000000003,0.99
scrofa,2.92,0.99
scrofa,2.96,0.99
scrofa,3.0,0.99
scrofa,3.04,0.99
scrofa,3.08,0.99
scrofa,3.12,0.99
scrofa,3.16,0.99
scrofa,3.2,0.99
scrofa,3.24,0.99
scrofa,3.2800000000000002,0.99
scrofa,3.3200000000000003,0.99
scrofa,3.3600000000000003,0.99
scrofa,3.4000000000000004,0.99
scrofa,3.44,0.99
scrofa,3.48,0.99
scrofa,3.52,0.99
scrofa,3.56,0.99
scrofa,3.6,0.99
scrofa,3.64,0.99
scrofa,3.68,0.99
scrofa,3.72,0.99
scrofa,3.7600000000000007,0.99
scrofa,3.8000000000000003,0.99
scrofa,3.8400000000000003,1.0
scrofa,3.8800000000000003,0.99
scrofa,3.9200000000000004,1.0
scrofa,3.9600000000000004,1.0
scrofa,4.0,1.0
scrofa,4.04,1.0
scrofa,4.08,1.0
scrofa,4.12,0.99
scrofa,4.16,0.99
scrofa,4.2,0.99
scrofa,4.24,0.99
scrofa,4.28,0.99
scrofa,4.32,0.99
scrofa,4.36,0.99
scrofa,4.4,1.0
scrofa,4.44,1.0
scrofa,4.48,1.0
scrofa,4.520000000000001,0.99
scrofa,4.5600000000000005,0.99
scrofa,4.6000000000000005,0.99
scrofa,4.640000000000001,0.99
scrofa,4.680000000000001,0.99
scrofa,4.720000000000001,0.99
scrofa,4.76,0.99
scrofa,4.8,0.99
scrofa,4.84,0.99
scrofa,4.88,0.99
scrofa,4.92,0.98
scrofa,4.96,0.98
scrofa,5.0,0.98
scrofa,5.04,0.99
scrofa,5.08,0.99
scrofa,5.12,0.99
scrofa,5.16,0.99
scrofa,5.2,0.98
scrofa,5.24,0.98
scrofa,5.28,0.98
scrofa,5.32,0.98
scrofa,5.36,0.98
scrofa,5.4,0.99
scrofa,5.44,0.99
scrofa,5.48,0.99
scrofa,5.520000000000001,0.98
scrofa,5.5600000000000005,0.98
scrofa,5.6000000000000005,0.98
scrofa,5.640000000000001,0.96
scrofa,5.680000000000001,0.96
scrofa,5.720000000000001,0.97
